# run_id=ec1c665e-b586-4c4a-9a2a-57022eafd668
# config_label=Mac-local-MPS
# started_at=2026-06-04T12:35:03.309Z
# duration_ms=65020
# warmup_ms=5000
# protocol_version=1.0.0
# file_name=D# Fat (Original Mix).wav
# file_duration_ms=328593.7708333333
# chunk_size=2048
# sample_rate=48000
# chunks_sent=1524
# chunks_received=1524
# beats_real=25
# beats_synthetic=108
# lighting_frames=147
# device=cuda:NVIDIA GeForce RTX 2070 SUPER
# beat_tracker=beatnet
# skip_bart=skipbart
# note_server_skip_ingest_queue_ms=time to enqueue chunk (not inference)
# note_server_skip_drain_queue_ms=time to dequeue predictions (not inference)
# note_server_skip_inference_ms=OpenL3 embed + Skip-BART decode on worker thread
# note_server_stage_raw_t_ms=blank for backend samples (no client clock)
t_ms,metric,value
57445,server.dwell_ms,2.127
57906,beat.e2e_ms,7.000
57906,server.dwell_ms,2.984
58427,lighting.frame,126.000
58427,lighting.e2e_ms,229.000
58427,server.dwell_ms,225.087
58428,lighting.frame,127.000
58428,lighting.e2e_ms,230.000
58429,lighting.frame,128.000
58429,lighting.e2e_ms,231.000
58430,lighting.frame,129.000
58430,lighting.e2e_ms,232.000
58430,lighting.frame,130.000
58430,lighting.e2e_ms,232.000
58430,lighting.frame,131.000
58430,lighting.e2e_ms,232.000
58431,lighting.frame,132.000
58431,lighting.e2e_ms,233.000
58432,lighting.frame,133.000
58432,lighting.e2e_ms,234.000
58433,lighting.frame,134.000
58433,lighting.e2e_ms,235.000
58433,lighting.frame,135.000
58433,lighting.e2e_ms,235.000
58434,lighting.frame,136.000
58434,lighting.e2e_ms,236.000
58434,lighting.frame,137.000
58434,lighting.e2e_ms,236.000
58435,lighting.frame,138.000
58435,lighting.e2e_ms,237.000
58436,lighting.frame,139.000
58436,lighting.e2e_ms,238.000
58436,lighting.frame,140.000
58436,lighting.e2e_ms,238.000
58437,lighting.frame,141.000
58437,lighting.e2e_ms,239.000
58438,lighting.frame,142.000
58438,lighting.e2e_ms,240.000
58439,lighting.frame,143.000
58439,lighting.e2e_ms,241.000
58440,lighting.frame,144.000
58440,lighting.e2e_ms,242.000
58441,lighting.frame,145.000
58441,lighting.e2e_ms,243.000
58442,lighting.frame,146.000
58442,lighting.e2e_ms,244.000
58442,lighting.frame,147.000
58442,lighting.e2e_ms,244.000
58853,beat.e2e_ms,229.000
58853,server.dwell_ms,186.931
59032,beat.e2e_ms,109.000
59032,server.dwell_ms,2.036
59545,beat.e2e_ms,281.000
59545,server.dwell_ms,223.963
59883,beat.e2e_ms,405.000
59883,server.dwell_ms,315.187
60096,beat.e2e_ms,320.000
60096,server.dwell_ms,4.775
60550,beat.e2e_ms,347.000
60550,server.dwell_ms,8.546
61167,beat.e2e_ms,623.000
61167,server.dwell_ms,156.074
61471,beat.e2e_ms,625.000
61471,server.dwell_ms,3.250
61933,beat.e2e_ms,749.000
61933,server.dwell_ms,308.638
62249,beat.e2e_ms,763.000
62249,server.dwell_ms,2.084
62455,beat.e2e_ms,670.000
62455,server.dwell_ms,6.381
62649,network.rtt_ms,796.000
63358,beat.e2e_ms,1103.000
63358,server.dwell_ms,327.854
63452,beat.e2e_ms,860.000
63452,server.dwell_ms,2.576
63676,beat.e2e_ms,738.000
63676,server.dwell_ms,2.931
63814,beat.e2e_ms,539.000
63814,server.dwell_ms,2.622
64080,beat.e2e_ms,464.000
64081,server.dwell_ms,3.105
64342,beat.e2e_ms,214.000
64342,server.dwell_ms,2.757
64686,beat.e2e_ms,86.000
64686,server.dwell_ms,60.548
,server.beat.ingest_ms,1.172
,server.beat.ingest_ms,1.126
,server.beat.ingest_ms,1.788
,server.beat.ingest_ms,1.325
,server.beat.ingest_ms,1.343
,server.beat.ingest_ms,1.333
,server.beat.ingest_ms,1.353
,server.beat.ingest_ms,1.384
,server.beat.ingest_ms,1.399
,server.beat.ingest_ms,1.236
,server.beat.ingest_ms,1.464
,server.beat.ingest_ms,1.396
,server.beat.ingest_ms,1.423
,server.beat.ingest_ms,1.333
,server.beat.ingest_ms,1.129
,server.beat.ingest_ms,1.273
,server.beat.ingest_ms,1.260
,server.beat.ingest_ms,1.575
,server.beat.ingest_ms,0.985
,server.beat.ingest_ms,1.739
,server.beat.ingest_ms,1.482
,server.beat.ingest_ms,1.406
,server.beat.ingest_ms,1.224
,server.beat.ingest_ms,1.721
,server.beat.ingest_ms,1.580
,server.beat.ingest_ms,0.926
,server.beat.ingest_ms,1.008
,server.beat.ingest_ms,1.474
,server.beat.ingest_ms,1.441
,server.beat.ingest_ms,1.477
,server.beat.ingest_ms,0.965
,server.beat.ingest_ms,1.558
,server.beat.ingest_ms,1.235
,server.beat.ingest_ms,1.465
,server.beat.ingest_ms,1.870
,server.beat.ingest_ms,1.451
,server.beat.ingest_ms,1.393
,server.beat.ingest_ms,1.351
,server.beat.ingest_ms,0.852
,server.beat.ingest_ms,0.818
,server.beat.ingest_ms,0.886
,server.beat.ingest_ms,0.823
,server.beat.ingest_ms,0.810
,server.beat.ingest_ms,0.814
,server.beat.ingest_ms,0.815
,server.beat.ingest_ms,0.837
,server.beat.ingest_ms,0.811
,server.beat.ingest_ms,0.814
,server.beat.ingest_ms,0.830
,server.beat.ingest_ms,0.823
,server.beat.ingest_ms,3.898
,server.beat.ingest_ms,6.110
,server.beat.ingest_ms,4.833
,server.beat.ingest_ms,5.934
,server.beat.ingest_ms,6.085
,server.beat.ingest_ms,2.623
,server.beat.ingest_ms,3.365
,server.beat.ingest_ms,1.120
,server.beat.ingest_ms,3.065
,server.beat.ingest_ms,1.313
,server.beat.ingest_ms,9.939
,server.beat.ingest_ms,8.127
,server.beat.ingest_ms,8.760
,server.beat.ingest_ms,2.853
,server.beat.ingest_ms,1.293
,server.beat.ingest_ms,3.801
,server.beat.ingest_ms,1.531
,server.beat.ingest_ms,2.099
,server.beat.ingest_ms,1.351
,server.beat.ingest_ms,1.346
,server.beat.ingest_ms,2.037
,server.beat.ingest_ms,3.513
,server.beat.ingest_ms,1.457
,server.beat.ingest_ms,1.351
,server.beat.ingest_ms,1.341
,server.beat.ingest_ms,2.098
,server.beat.ingest_ms,1.361
,server.beat.ingest_ms,1.244
,server.beat.ingest_ms,1.420
,server.beat.ingest_ms,1.415
,server.beat.ingest_ms,2.009
,server.beat.ingest_ms,1.474
,server.beat.ingest_ms,1.431
,server.beat.ingest_ms,1.464
,server.beat.ingest_ms,1.435
,server.beat.ingest_ms,1.589
,server.beat.ingest_ms,1.269
,server.beat.ingest_ms,1.253
,server.beat.ingest_ms,1.422
,server.beat.ingest_ms,1.361
,server.beat.ingest_ms,1.439
,server.beat.ingest_ms,1.064
,server.beat.ingest_ms,1.196
,server.beat.ingest_ms,1.289
,server.beat.ingest_ms,1.599
,server.beat.ingest_ms,1.216
,server.beat.ingest_ms,1.440
,server.beat.ingest_ms,1.557
,server.beat.ingest_ms,1.109
,server.beat.ingest_ms,1.131
,server.beat.ingest_ms,1.824
,server.beat.ingest_ms,1.551
,server.beat.ingest_ms,1.121
,server.beat.ingest_ms,1.475
,server.beat.ingest_ms,1.241
,server.beat.ingest_ms,1.619
,server.beat.ingest_ms,1.070
,server.beat.ingest_ms,1.408
,server.beat.ingest_ms,5.213
,server.beat.ingest_ms,5.710
,server.beat.ingest_ms,2.898
,server.beat.ingest_ms,1.568
,server.beat.ingest_ms,3.715
,server.beat.ingest_ms,2.251
,server.beat.ingest_ms,1.450
,server.beat.ingest_ms,1.094
,server.beat.ingest_ms,0.820
,server.beat.ingest_ms,1.315
,server.beat.ingest_ms,1.979
,server.beat.ingest_ms,6.387
,server.beat.ingest_ms,1.218
,server.beat.ingest_ms,1.139
,server.beat.ingest_ms,1.236
,server.beat.ingest_ms,1.284
,server.beat.ingest_ms,1.313
,server.beat.ingest_ms,1.275
,server.beat.ingest_ms,1.178
,server.beat.ingest_ms,1.175
,server.beat.ingest_ms,1.377
,server.beat.ingest_ms,1.373
,server.beat.ingest_ms,1.231
,server.beat.ingest_ms,1.173
,server.beat.ingest_ms,1.142
,server.beat.ingest_ms,2.112
,server.beat.ingest_ms,2.146
,server.beat.ingest_ms,1.525
,server.beat.ingest_ms,1.502
,server.beat.ingest_ms,1.408
,server.beat.ingest_ms,1.406
,server.beat.ingest_ms,1.681
,server.beat.ingest_ms,1.398
,server.beat.ingest_ms,1.311
,server.beat.ingest_ms,1.720
,server.beat.ingest_ms,1.415
,server.beat.ingest_ms,1.422
,server.beat.ingest_ms,1.647
,server.beat.ingest_ms,1.599
,server.beat.ingest_ms,2.617
,server.beat.ingest_ms,1.636
,server.beat.ingest_ms,2.260
,server.beat.ingest_ms,1.523
,server.beat.ingest_ms,2.222
