# run_id=045aeef4-8786-4166-845f-7f82a576d92f
# config_label=Mac-local-MPS
# started_at=2026-06-04T12:24:28.812Z
# duration_ms=65026
# warmup_ms=5000
# protocol_version=1.0.0
# file_name=D# Fat (Original Mix).wav
# file_duration_ms=328593.7708333333
# chunk_size=2048
# sample_rate=48000
# chunks_sent=1523
# chunks_received=1523
# beats_real=16
# beats_synthetic=110
# lighting_frames=147
# device=mps
# beat_tracker=beatnet
# skip_bart=skipbart
# note_server_skip_ingest_queue_ms=time to enqueue chunk (not inference)
# note_server_skip_drain_queue_ms=time to dequeue predictions (not inference)
# note_server_skip_inference_ms=OpenL3 embed + Skip-BART decode on worker thread
# note_server_stage_raw_t_ms=blank for backend samples (no client clock)
t_ms,metric,value
,server.beat.ingest_ms,0.595
,server.beat.ingest_ms,0.698
,server.beat.ingest_ms,1.025
,server.beat.ingest_ms,0.856
,server.beat.ingest_ms,3.422
,server.beat.ingest_ms,0.807
,server.beat.ingest_ms,0.900
,server.beat.ingest_ms,0.714
,server.beat.ingest_ms,2.789
,server.beat.ingest_ms,7.717
,server.beat.ingest_ms,0.719
,server.beat.ingest_ms,0.704
,server.beat.ingest_ms,5.637
,server.beat.ingest_ms,7.148
,server.beat.ingest_ms,5.341
,server.beat.ingest_ms,0.871
,server.beat.ingest_ms,2.412
,server.beat.ingest_ms,4.710
,server.beat.ingest_ms,1.949
,server.beat.ingest_ms,0.681
,server.beat.ingest_ms,0.610
,server.beat.ingest_ms,0.856
,server.beat.ingest_ms,0.693
,server.beat.ingest_ms,0.701
,server.beat.ingest_ms,1.861
,server.beat.ingest_ms,0.881
,server.beat.ingest_ms,0.779
,server.beat.ingest_ms,3.666
,server.beat.ingest_ms,4.332
,server.beat.ingest_ms,2.767
,server.beat.ingest_ms,3.204
,server.beat.ingest_ms,2.716
,server.beat.ingest_ms,1.229
,server.beat.ingest_ms,0.737
,server.beat.ingest_ms,1.398
,server.beat.ingest_ms,0.628
,server.beat.ingest_ms,0.429
,server.beat.ingest_ms,0.400
,server.beat.ingest_ms,0.484
,server.beat.ingest_ms,0.639
,server.beat.ingest_ms,0.669
,server.beat.ingest_ms,0.898
,server.beat.ingest_ms,0.869
,server.beat.ingest_ms,7.509
,server.beat.ingest_ms,1.107
,server.beat.ingest_ms,0.801
,server.beat.ingest_ms,2.661
,server.beat.ingest_ms,1.036
,server.beat.ingest_ms,0.693
,server.beat.ingest_ms,1.694
,server.beat.ingest_ms,0.694
,server.beat.ingest_ms,0.545
,server.beat.ingest_ms,3.350
,server.beat.ingest_ms,0.720
,server.beat.ingest_ms,1.680
,server.beat.ingest_ms,0.767
,server.beat.ingest_ms,1.923
,server.beat.ingest_ms,0.800
,server.beat.ingest_ms,0.868
,server.beat.ingest_ms,2.130
,server.beat.ingest_ms,1.521
,server.beat.ingest_ms,0.710
,server.beat.ingest_ms,0.777
,server.beat.ingest_ms,0.774
,server.beat.ingest_ms,0.805
,server.beat.ingest_ms,0.741
,server.beat.ingest_ms,0.709
,server.beat.ingest_ms,0.595
,server.beat.ingest_ms,0.594
,server.beat.ingest_ms,0.722
,server.beat.ingest_ms,0.611
,server.beat.ingest_ms,0.562
,server.beat.ingest_ms,0.646
,server.beat.ingest_ms,0.742
,server.beat.ingest_ms,0.832
,server.beat.ingest_ms,0.968
,server.beat.ingest_ms,0.749
,server.beat.ingest_ms,0.627
,server.beat.ingest_ms,0.808
,server.beat.ingest_ms,0.641
,server.beat.ingest_ms,0.645
,server.beat.ingest_ms,0.760
,server.beat.ingest_ms,0.822
,server.beat.ingest_ms,0.637
,server.beat.ingest_ms,0.940
,server.beat.ingest_ms,0.700
,server.beat.ingest_ms,0.698
,server.beat.ingest_ms,1.937
,server.beat.ingest_ms,4.543
,server.beat.ingest_ms,0.839
,server.beat.ingest_ms,2.531
,server.beat.ingest_ms,0.628
,server.beat.ingest_ms,62.770
,server.beat.ingest_ms,0.815
,server.beat.ingest_ms,0.568
,server.beat.ingest_ms,0.550
,server.beat.ingest_ms,0.677
,server.beat.ingest_ms,2.599
,server.beat.ingest_ms,0.628
,server.beat.ingest_ms,1.008
,server.beat.ingest_ms,10.289
,server.beat.ingest_ms,0.708
,server.beat.ingest_ms,1.949
,server.beat.ingest_ms,3.573
,server.beat.ingest_ms,0.689
,server.beat.ingest_ms,0.723
,server.beat.ingest_ms,1.740
,server.beat.ingest_ms,0.834
,server.beat.ingest_ms,0.758
,server.beat.ingest_ms,0.662
,server.beat.ingest_ms,0.818
,server.beat.ingest_ms,0.888
,server.beat.ingest_ms,0.746
,server.beat.ingest_ms,2.408
,server.beat.ingest_ms,0.806
,server.beat.ingest_ms,0.772
,server.beat.ingest_ms,0.609
,server.beat.ingest_ms,1.991
,server.beat.ingest_ms,1.815
,server.beat.ingest_ms,0.807
,server.beat.ingest_ms,0.684
,server.beat.ingest_ms,0.771
,server.beat.ingest_ms,6.980
,server.beat.ingest_ms,1.911
,server.beat.ingest_ms,1.452
,server.beat.ingest_ms,0.733
,server.beat.ingest_ms,1.770
,server.beat.ingest_ms,2.778
,server.beat.ingest_ms,0.758
,server.beat.ingest_ms,0.830
,server.beat.ingest_ms,0.714
,server.beat.ingest_ms,2.120
,server.beat.ingest_ms,3.559
,server.beat.ingest_ms,1.689
,server.beat.ingest_ms,1.211
,server.beat.ingest_ms,0.899
,server.beat.ingest_ms,0.590
,server.beat.ingest_ms,2.111
,server.beat.ingest_ms,0.786
,server.beat.ingest_ms,2.487
,server.beat.ingest_ms,4.882
,server.beat.ingest_ms,5.350
,server.beat.ingest_ms,4.180
,server.beat.ingest_ms,2.458
,server.beat.ingest_ms,0.594
,server.beat.ingest_ms,0.646
,server.beat.ingest_ms,0.636
,server.beat.ingest_ms,0.905
,server.beat.ingest_ms,0.702
,server.beat.ingest_ms,2.405
,server.beat.ingest_ms,2.076
